日時,プロダクト名,X座標,Y座標
20250524160528,シャア専用ザク表,100,34
20250524160528,シャア専用ザク表,101,32
20250524160528,シャア専用ザク表,99,33
20250524160528,シャア専用ザク表,102,34
20250524160528,シャア専用ザク表,102,38
20250524160528,シャア専用ザク表,105,42
20250524160528,シャア専用ザク表,100,40
20250524160528,シャア専用ザク表,99,43
20250524160528,シャア専用ザク表,100,45
20250524160528,シャア専用ザク表,99,46
20250524160528,シャア専用ザク表,99,50
20250524160528,シャア専用ザク表,100,52
20250524160528,シャア専用ザク表,98,53
20250524160528,シャア専用ザク表,139,79
20250524160528,シャア専用ザク表,138,81
20250524160528,シャア専用ザク表,138,83
